name,title,male,culture,date_of_birth,mother,father,heir,house,spouse,book1,book2,book3,book4,book5,mother_is_alive,father_is_alive,heir_is_alive,spouse_is_alive,married,nobility,age,number_of_dead_relations,child_of
Addam Osgrey,,1,,183.0,,,,House Osgrey,,0,0,0,0,0,,,,,0,0,13.0,0,
Aegon Frey (son of Aenys),,1,,253.0,,,,House Frey,,0,0,0,0,0,,,,,0,0,52.0,0,
Aegon Frey (son of Stevron),,1,,249.0,,,,House Frey,,0,0,0,0,0,,,,,0,0,50.0,0,
Aegon I Targaryen,,1,,,Valaena Velaryon,Aerion Targaryen,Aenys Targaryen,,,0,0,0,0,0,1.0,0.0,1.0,,0,0,,6,
Aegon II Targaryen,,1,,,Alicent Hightower,Viserys I Targaryen,Jaehaerys Targaryen,,,0,0,0,0,0,0.0,0.0,1.0,,0,0,,7,
Aegon IV Targaryen,,1,,,Rhaella Targaryen,Aerys II Targaryen,Daeron II Targaryen,,,0,0,0,0,0,,,0.0,,0,0,,15,
Aegon Targaryen (son of Baelon),Prince,1,Valyrian,,,,,House Targaryen,,0,0,0,0,0,,,,,0,1,,0,
Aegon III Targaryen,,1,Valyrian,,Rhaenyra Targaryen,Daemon Targaryen,Daeron I Targaryen,,,0,0,0,0,0,1.0,0.0,0.0,,0,0,,8,
Aegon Targaryen (son of Jaehaerys I),Prince,0,Valyrian,50.0,,,,House Targaryen,,0,0,0,0,0,,,,,0,1,100.0,0,
Aegon Targaryen (son of Aenys I),Prince,1,Valyrian,26.0,,,,House Targaryen,Rhaena Targaryen,0,0,0,0,0,,,,1.0,1,1,17.0,0,
Aegon Targaryen (son of Rhaegar),,1,Valyrian,281.0,,,,House Targaryen,,0,0,0,0,0,,,,,0,0,2.0,0,
Aemon Costayne,,1,,,,,,House Costayne,,0,0,1,0,0,,,,,0,0,,0,
Aenys I Targaryen,,1,,,Rhaenys Targaryen,Aegon I Targaryen,Aegon Targaryen,,,0,0,0,0,0,0.0,0.0,1.0,,0,0,,5,
Aethan,,0,,,,,,Night's Watch,,0,0,1,0,0,,,,,0,0,,0,
Aethelmure,Grand Maester,0,,,,,,,,1,0,0,0,0,,,,,0,1,,0,
Aggar,,1,,,,,,House Greyjoy,,0,1,0,0,1,,,,,0,0,,0,
Agrivane,Archmaester,0,,,,,,,,0,0,0,1,0,,,,,0,1,,0,
Aerys I Targaryen,,1,,,Mariah Martell,Daeron II Targaryen,Rhaegel Targaryen,,,0,0,0,0,0,1.0,0.0,0.0,,0,0,,3,
Alaric of Eysen,,0,,,,,,,,0,0,1,1,0,,,,,0,0,,0,
Aerys II Targaryen,,1,,,Shaera Targaryen,Jaehaerys II Targaryen,Rhaegar Targaryen,,Rhaella Targaryen,0,0,0,0,0,1.0,0.0,0.0,,0,0,,10,
Alebelly,,1,Northmen,,,,,House Stark,,0,1,0,0,0,,,,,0,0,,0,
Alequo Adarys,,1,Tyroshi,,,,,Band of Nine,,0,0,0,0,0,,,,,0,0,,0,
Alester Oakheart,,1,,,,,,House Oakheart,,0,0,0,1,0,,,,,0,0,,0,
Alia,,0,,,,,,,,0,0,0,0,0,,,,,0,0,,0,
All-for-Joffrey,,1,,,,,,,,0,1,0,0,0,,,,,0,0,,0,
Allaquo,,1,Braavosi,,,,,,,0,0,0,1,0,,,,,0,0,,0,
Allyria Dayne,,0,,,,,,House Dayne,,0,0,1,0,0,,,,,0,0,,0,
Alicent Hightower,LadyQueenDowager Queen,0,,88.0,,,,House Hightower,Viserys I Targaryen,0,0,0,0,0,,,,0.0,1,1,45.0,4,
Alyce,,1,,,,,,,,0,0,1,1,0,,,,,0,0,,0,
Alvyn Sharp,,1,Ironborn,,,,,House Sharp,,0,0,0,1,0,,,,,0,0,,0,
Alyn Hunt,Ser,1,,,,,,House Hunt,,0,0,0,1,0,,,,,0,1,,0,
Alys Arryn,,0,,,,Jasper Arryn,,House Arryn,Elys Waynwood,0,0,0,1,0,,,,1.0,1,0,,1,
Alysanne Bracken,,0,,,,,,House Bracken,,0,0,0,0,1,,,,,0,0,,0,
Alyn Velaryon,Lord of the Tides,1,Valyrian,115.0,,,,House Velaryon,Baela Targaryen,0,0,0,1,1,,,,0.0,1,1,56.0,0,
Alysanne Osgrey,,0,,188.0,,,,House Osgrey,,0,0,0,0,0,,,,,0,0,21.0,0,
Alyssa Arryn,,0,,,,,,House Arryn,,1,0,0,0,0,,,,,0,0,,0,
Alysanne Hightower,,0,,,,,,House Hightower,Arthur Ambrose,0,0,0,1,0,,,,1.0,1,0,,0,
Amabel,,0,,,,,,House Whent,,0,1,1,0,0,,,,,0,0,,0,
Ambrode,,0,Ironborn,,,,,,,0,1,0,0,0,,,,,0,0,,0,
Andrey Dalt,Ser,0,Dornish,,,,,House Dalt,,0,0,0,1,0,,,,,0,1,,0,
Andrey Charlton,Ser,1,,,,,,House Charlton,,0,1,0,0,0,,,,,0,1,,0,
Argrave the Defiant,Ser,1,,,,,,House Butterwell,,0,0,0,0,0,,,,,0,1,,0,
Armen,,1,,,,,,,,0,0,0,1,0,,,,,0,0,,0,
Arneld,Ser,1,,,,,,,,0,1,0,0,0,,,,,0,1,,0,
Arnell,Ser,1,,,,,,Night's Watch,,0,1,0,0,0,,,,,0,1,,0,
Arrec Durrandon,,1,,,,,Arlan V Durrandon,,,0,0,0,0,0,,,1.0,,0,0,,0,
Arron,,1,,,,,,Night's Watch,,0,0,1,1,1,,,,,0,0,,0,
Arryk (guard),,0,,,,,,House Tyrell,,0,0,0,0,0,,,,,0,0,,0,
Arron Qorgyle,Ser,1,,,,,,House Qorgyle,,0,0,1,1,0,,,,,0,1,,0,
Arson,,1,Free Folk,,,,,,,0,0,1,0,0,,,,,0,0,,0,
Aubrey Ambrose,Ser,1,,,,,,House Ambrose,,0,0,0,0,0,,,,,0,1,,0,
Ayrmidon,,0,Valyrian,,,,,,,1,0,0,0,0,,,,,0,0,,0,
Baelon Targaryen (son of Viserys I),Prince,1,Valyrian,105.0,,,,House Targaryen,,0,0,0,0,0,,,,,0,1,0.0,0,
Baelon Targaryen (son of Aerys),Lord of Dragonstone,0,Valyrian,,,,,House Targaryen,,0,0,0,0,0,,,,,0,1,,0,
Balon Botley,,1,Ironborn,,,,,House Botley,,0,0,0,1,0,,,,,0,0,,0,
Baelor Targaryen (son of Daeron II),Prince of Dragonstone,1,,170.0,,,,House Targaryen,Jena Dondarrion,0,0,1,0,0,,,,1.0,1,1,39.0,3,
Bandy,,0,Northmen,,,,,House Stark,,0,1,0,1,0,,,,,0,0,,0,
Bannen,,1,,,,,,Night's Watch,,0,1,1,0,0,,,,,0,0,,0,
Barre,Septon,1,,,,,,,,0,1,0,0,0,,,,,0,0,,0,
Barbara Bracken,,0,,,,,,House Bracken,,0,0,0,0,1,,,,,0,0,,0,
Barth (brewer),,1,,,,,,House Stark,,0,1,0,0,0,,,,,0,0,,0,
Bass,,0,,,,,,Night's Watch,,1,0,0,0,0,,,,,0,0,,0,
Bearded Ben,,1,,,,,,Night's Watch,,0,0,0,1,1,,,,,0,0,,0,
Becca,,1,,,,,,House Arryn,,1,0,0,0,0,,,,,0,0,,0,
Beck,Goodman,1,,299.0,,,,,,0,0,1,0,0,,,,,0,1,6.0,0,
Belandra,,0,,,,,,House Martell,,0,0,0,1,0,,,,,0,0,,0,
Beldecar,,0,,,,,,,,0,0,1,0,0,,,,,0,0,,0,
Belis,Wisdom,1,,,,,,Alchemists' Guild,,0,0,1,0,0,,,,,0,1,,0,
Bellonara Otherys,,0,Braavosi,,,,,,,0,0,0,1,0,,,,,0,0,,0,
Bella,,0,,283.0,,,,,,0,0,1,1,0,,,,,0,0,22.0,0,
Ben,,1,,293.0,,,,,,0,0,0,1,0,,,,,0,0,12.0,0,
Ben Blackthumb,,1,,,,,,House Whent,,0,1,0,1,0,,,,,0,0,,0,
Ben Bones,,1,,,,,,House Bolton,,0,0,0,0,1,,,,,0,0,,0,
Ben Bushy,Ser,0,,,,,,House Bushy,,0,0,0,1,0,,,,,0,1,,0,
Benedict,Archmaester,0,,,,,,,,0,0,0,1,0,,,,,0,1,,0,
Benjen Stark (Bitter),,1,Northmen,,,,,,,0,1,0,0,0,,,,,0,0,,0,
Benjen Stark (Sweet),,1,Northmen,,,,,,,0,1,0,0,0,,,,,0,0,,0,
Bennet,Septon,0,,,,,,,,0,0,0,1,0,,,,,0,0,,0,
Bennis,Ser,1,,,,,,House Osgrey,,0,0,0,0,0,,,,,0,1,,0,
Beqqo,,0,Braavosi,,,,,,,0,0,0,1,0,,,,,0,0,,0,
Bennarion Botley,,1,Ironborn,,,,,House Botley,,0,0,0,1,0,,,,,0,0,,0,
Beron Blacktyde,,0,,,,,,House Blacktyde,,0,0,0,1,1,,,,,0,0,,0,
Bertram Beesbury,Ser,1,,,,,,House Beesbury,,0,0,1,0,0,,,,,0,1,,0,
Bessa,,1,,,,,,,,0,0,1,0,0,,,,,0,0,,0,
Bessa (Winterfell),,0,Northmen,,,,,,,1,0,0,0,0,,,,,0,0,,0,
Bess Bracken,,0,,,,,,House Bracken,,0,0,0,0,1,,,,,0,0,,0,
Bethany (Blushing Bethany),,0,Braavosi,,,,,,,0,0,0,1,0,,,,,0,0,,0,
Bethany Fair-Fingers,,0,,,,,,,,0,0,1,0,0,,,,,0,0,,0,
Bharbo,Khal,0,Dothraki,,,,,,,1,0,0,0,0,,,,,0,0,,2,
Big Boil,,1,Free Folk,,,,,,,0,0,1,1,0,,,,,0,0,,0,
Blind Doss,,0,Free folk,,,,,,,0,0,0,0,0,,,,,0,0,,0,
Blane,,1,,,,,,Night's Watch,,0,1,1,0,0,,,,,0,0,,0,
Bodger,,0,Free Folk,,,,,,,0,0,1,1,0,,,,,0,0,,0,
Borcas,,1,,,,,,Night's Watch,,1,0,0,0,0,,,,,0,0,,0,
Bors,,1,,,,,,House Martell,,0,0,0,1,0,,,,,0,0,,0,
Borroq,,1,Free folk,,,,,,,0,0,0,0,1,,,,,0,0,,0,
Boy,,1,,284.0,,,,,,0,0,1,1,0,,,,,0,0,21.0,0,
Brandon Stark (Bad),King in the North,1,Northmen,,,,,House Stark,,0,1,0,0,0,,,,,0,1,,0,
Brandon Stark (Burner),,1,Northmen,,,Brandon Stark,,,,1,1,0,0,0,,0.0,,,0,0,,0,
Brandon Stark (the daughterless),Winterfell,1,Northmen,,,,,House Stark,,0,1,0,0,0,,,,,0,1,,0,
Brandon Stark (son of Cregan),Winterfell,1,Northmen,,,,,House Stark,Alys Karstark,0,1,0,0,0,,,,1.0,1,1,,0,
Brandon Stark (Shipwright),,1,Northmen,,,,,,,1,1,0,0,0,,,,,0,0,,0,
Brea,,0,Braavosi,,,,,,,0,0,0,1,0,,,,,0,0,,0,
Brella,,0,,,,,,House Baratheon,,0,0,1,1,0,,,,,0,0,,0,
Brenett,Maester,1,,,,,,House Frey,,0,0,1,0,0,,,,,0,1,,0,
Briar,,0,Free Folk,,,,,,,0,0,0,0,1,,,,,0,0,,0,
Brogg,,1,Free Folk,,,,,,,0,0,0,0,1,,,,,0,0,,0,
Brusco,,1,Braavosi,,,,,,,0,0,0,1,1,,,,,0,0,,0,
Brown Bernarr,,0,,,,,,Night's Watch,,0,1,1,0,0,,,,,0,0,,0,
Bryan of Oldtown,,0,Reach,,,,,,,0,0,0,0,0,,,,,0,0,,0,
Bryen,,1,,220.0,,,,House Baelish,,0,0,1,0,0,,,,,0,0,85.0,0,
Buford Bulwer,Ser,1,,,,,,House Bulwer,,0,0,0,0,0,,,,,0,1,,0,
Bump,,1,Free folk,,,,,,,0,0,0,0,1,,,,,0,0,,0,
Buu,,0,,,,,,,,1,0,0,0,0,,,,,0,0,,0,
Byan Votyris,,1,Norvoshi,,,,,,,1,0,0,0,0,,,,,0,0,,0,
Byam Flint,Ser,1,,,,,,Night's Watch,,0,0,1,0,0,,,,,0,1,,0,
Byren Flowers,Ser,1,,,,,,,,0,0,0,0,0,,,,,0,1,,0,
Byron,Ser,0,,,,,,House Baelish,,0,0,0,1,1,,,,,0,1,,0,
Cadwyl,,1,Ironborn,,,,,House Greyjoy,,0,1,1,0,0,,,,,0,0,,0,
Lord Cafferen,Lord,1,,,,,,House Cafferen,,0,0,1,0,0,,,,,0,1,,0,
Calon,,0,Northmen,,,,,House Stark,,0,1,0,0,0,,,,,0,0,,0,
Cadwyn,Ser,0,,,,,,House Lannister,,0,1,0,0,0,,,,,0,1,,0,
Canker Jeyne,,0,Braavosi,,,,,,,0,0,0,1,0,,,,,0,0,,0,
Carellen Smallwood,,0,,,,,,House Smallwood,,0,0,1,1,0,,,,,0,0,,0,
Cass,,0,,,,,,,,0,0,1,1,0,,,,,0,0,,0,
Carrot,,0,,,,,,House Royce of the Gates of the Moon,,0,0,0,1,0,,,,,0,0,,0,
Castos,Archmaester,0,,,,,,,,0,0,0,1,0,,,,,0,1,,0,
Cedra,,0,,,,,,House Martell,,0,0,0,1,0,,,,,0,0,,0,
Catelyn Bracken,,0,,,,,,House Bracken,,0,0,0,0,1,,,,,0,0,,0,
Cedric Payne,Ser,1,,,,,,House Payne,,0,0,0,1,0,,,,,0,1,,0,
Cedrik Storm,,0,,,,,,House Buckler,,0,0,1,0,0,,,,,0,0,,0,
Cerrick,Maester,1,Ironborn,,,,,House Webber,,0,0,0,0,0,,,,,0,1,,0,
Cetheres,Archmaester,0,,,,,,,,0,0,0,1,0,,,,,0,1,,0,
Catelyn Stark,Winterfell,0,Rivermen,264.0,Minisa Whent,Hoster Tully,,House Tully,Eddard Stark,0,0,0,0,0,,,,0.0,1,1,35.0,7,
Cheyk,,0,,,,,,Black Ears,,1,1,0,0,1,,,,,0,0,,0,
Chiggen,,1,,,,,,,,1,0,0,0,0,,,,,0,0,,0,
Clarence Crabb,Ser,1,,,,,,House Crabb,,0,0,0,1,0,,,,,0,1,,0,
Clarence Charlton,Ser,0,,,,,,House Charlton,,0,0,0,0,0,,,,,0,1,,0,
Clarence Crabb (Short),Ser,1,,,,,,House Crabb,,0,0,0,1,0,,,,,0,1,,0,
Clement,Brother,1,,251.0,,,,,,0,0,0,1,0,,,,,0,1,54.0,0,
Cleyton Caswell,Ser,0,,,,,,House Caswell,,0,0,0,0,0,,,,,0,1,,0,
Clifford Conklyn,Ser,1,,,,,,House Conklyn,,0,0,0,0,0,,,,,0,1,,0,
Colen of Greenpools,Ser,1,,,,,,House Baratheon,,0,1,0,0,0,,,,,0,1,,0,
Collio Quaynis,,1,Tyroshi,,,,,,,0,0,1,0,0,,,,,0,0,,0,
Conn,,1,Vale mountain clans,,,,,Stone Crows,,1,0,0,0,0,,,,,0,0,,0,
Coratt,,1,Vale mountain clans,,,,,Stone Crows,,1,0,0,0,0,,,,,0,0,,0,
Cosgrove,Steward,0,,,,,,House Butterwell,,0,0,0,0,0,,,,,0,1,,0,
Cossomo,,1,Braavosi,,,,,,,0,0,0,1,0,,,,,0,0,,0,
Courtenay Greenhill,Ser,0,,,,,,House Greenhill,,0,0,0,1,0,,,,,0,1,,0,
Cregan Karstark,,1,Northmen,249.0,,,,House Karstark,,0,0,0,0,1,,,,,0,0,56.0,0,
Cutjack,,1,,,,,,,,0,1,0,0,0,,,,,0,0,,0,
Dacks,,1,,,,,,House Redfort,,1,0,0,0,0,,,,,0,0,,0,
Daella Targaryen (daughter of Jaehaerys I),Eyrie,0,Valyrian,54.0,,,,House Targaryen,Rodrik Arryn,0,0,0,0,0,,,,1.0,1,1,28.0,0,
Daella Targaryen (daughter of Maekar I),Princess,1,Valyrian,199.0,,,,House Targaryen,,0,0,0,0,0,,,,,0,1,100.0,0,
Daenerys Targaryen (daughter of Aegon IV),Princess,0,,172.0,,,,House Targaryen,Maron Martell,0,0,0,0,1,,,,1.0,1,1,100.0,10,
Daeron I Targaryen,,1,,,Daenaera Velaryon,Aegon III Targaryen,Baelor I Targaryen,,,0,0,0,0,0,1.0,0.0,0.0,,0,0,,7,
Daena Targaryen,Princess,0,Valyrian,145.0,,,,House Targaryen,Baelor I Targaryen,0,0,0,0,0,,,,0.0,1,1,100.0,7,
Daeryssa,Princess,0,,,,,,,,1,0,0,0,0,,,,,0,1,,0,
Daeron Targaryen (son of Viserys I),Ser,1,,114.0,,,,House Targaryen,,0,0,0,0,0,,,,,0,1,16.0,0,
Dagon Ironmaker,,1,Ironborn,,,,,House Ironmaker,,0,0,0,1,0,,,,,0,0,,0,
Daeron Targaryen (son of Maekar I),Prince of Dragonstone,1,,190.0,,,,House Targaryen,Kiera of Tyrosh,0,1,0,1,0,,,,1.0,1,1,31.0,0,
Daeron II Targaryen,,1,,,Naerys Targaryen,Aegon IV Targaryen,Baelor 'Breakspear' Targaryen,,,0,0,0,0,0,0.0,0.0,1.0,,0,0,,10,
Dake,,1,,,,,,House Osgrey,,0,0,0,0,0,,,,,0,0,,0,
Dale Drumm,,0,,,,,,House Drumm,,0,0,0,1,0,,,,,0,0,,0,
Dalla (Dragonstone),,0,,,,,,House Baratheon of Dragonstone,,0,1,0,0,0,,,,,0,0,,0,
Damon Lannister (lord),Casterly Rock,1,Westerman,,,,,House Lannister,Cerissa Brax,0,0,0,0,0,,,,1.0,1,1,,0,
Dan,,1,Free Folk,,,,,,,0,0,1,1,0,,,,,0,0,,0,
Damon Lannister (son of Jason),,1,,244.0,,,,House Lannister,Ella Lannister,0,0,0,0,0,,,,1.0,1,0,61.0,0,
Darla Deddings,Lady,0,,,,,,House Deddings,,0,0,0,0,0,,,,,0,1,,0,
Danos Slynt,,1,,,,,,House Slynt,,0,0,1,0,0,,,,,0,0,,0,
Daughter of the Dusk,,0,Braavosi,,,,,,,0,0,0,1,0,,,,,0,0,,0,
Del,,0,Free Folk,283.0,,,,,,0,0,1,1,0,,,,,0,0,16.0,0,
Denestan,Maester,0,,,,,,,,0,0,0,1,0,,,,,0,1,,0,
Denyo Terys,,1,Braavosi,287.0,,,,,,0,0,0,1,0,,,,,0,0,18.0,0,
Dennis Plumm,Ser,1,,,,,,House Plumm,,0,0,1,1,0,,,,,0,1,,0,
Denys Drumm,,1,Ironborn,,,,,House Drumm,,0,0,0,1,0,,,,,0,0,,0,
Denys Redwyne,,1,,,,,,House Redwyne,,0,0,0,1,0,,,,,0,0,,0,
Denyse Hightower,,0,,,,,,House Hightower,Desmond Redwyne,0,0,0,1,0,,,,1.0,1,0,,0,
Dhazzar,Cupbearer,0,Ghiscari,,,,,,,0,0,0,0,1,,,,,0,1,,0,
Dick Follard,,1,,,,,,Night's Watch,,0,0,1,0,0,,,,,0,0,,0,
Dickon Manwoody,,1,,,,,,House Manwoody,,0,0,1,1,0,,,,,0,0,,0,
Dobber,,1,,,,,,,,0,1,0,0,0,,,,,0,0,,0,
Donnel Drumm,,1,Ironborn,,,,,House Drumm,,0,0,0,1,0,,,,,0,0,,0,
Donel Greyjoy,,1,Ironborn,,Lady of House Stonetree,Quellon Greyjoy,,House Greyjoy,,0,0,0,1,0,,,,,0,0,,0,
Donella Hornwood,Hornwood,0,Northmen,249.0,,,,House Manderly,Halys Hornwood,0,1,0,0,1,,,,0.0,1,1,50.0,0,
Donnel Hill,,1,,,,,,Night's Watch,,0,0,1,1,1,,,,,0,0,,0,
Donnis,,0,Northmen,,,,,House Stark,,1,0,0,0,0,,,,,0,0,,0,
Donyse,Septa,0,,,,,,,,0,0,1,0,0,,,,,0,0,,0,
Dorcas,,0,,,,,,House Lannister,,0,0,0,1,0,,,,,0,0,,0,
Dornish Dilly,,0,,,,,,Night's Watch,,0,0,1,0,0,,,,,0,0,,0,
Dorren Stark,,1,Northmen,,,,,,,0,1,0,0,0,,,,,0,0,,0,
Draqaz,Cupbearer,0,Ghiscari,,,,,,,0,0,0,0,1,,,,,0,1,,0,
Drennan,,1,Ironborn,,,,,House Greyjoy,,0,1,0,0,0,,,,,0,0,,0,
Dudley,Ser,1,,,,,,,,0,0,1,0,0,,,,,0,1,,0,
Dryn,,1,Free Folk,,,,,,,0,0,1,1,1,,,,,0,0,,0,
Dunaver,Ser,0,,,,,,House Lannister,,0,1,0,0,0,,,,,0,1,,0,
Durran,,1,First Men,,,,Durran the Devout,,,0,0,0,0,0,,,1.0,,0,0,,0,
Dyah,,0,Free Folk,,,,,,Craster,0,0,1,1,0,,,,0.0,1,0,,0,
Dykk Harlaw,,1,,,,,,House Harlaw,,0,1,0,0,0,,,,,0,0,,0,
Easy,,1,,,,,,Night's Watch,,0,0,1,0,0,,,,,0,0,,0,
Duncan Targaryen,Prince of Dragonstone,1,,220.0,Betha Blackwood,Aegon V Targaryen,,House Targaryen,Jenny of Oldstones,0,0,1,1,1,,,,1.0,1,1,39.0,6,
Edgerran Oakheart,Lord,1,,,,,,House Oakheart,,0,0,0,1,0,,,,,0,1,,0,
Eden Risley,Ser,1,,,,,,House Risley,,0,0,0,0,0,,,,,0,1,,0,
Edmund Ambrose,Ser,0,,,,,,House Ambrose,,0,0,0,1,0,,,,,0,1,,0,
Edwyn Osgrey,Ser,1,,,,,,House Osgrey,,0,0,0,0,0,,,,,0,1,,0,
Eggon,,1,,,,,,House Clegane,,0,1,0,0,0,,,,,0,0,,0,
Eglantine,Septa,0,,,,,,Faith of the Seven,,0,0,0,1,0,,,,,0,0,,0,
Egon Emeros,,0,Qartheen,,,,,Pureborn,,0,1,0,0,1,,,,,0,0,,0,
Eldiss,,1,Ironborn,,,,,,,0,1,0,0,0,,,,,0,0,,0,
Eldred Codd,,1,Ironborn,,,,,House Codd,,0,0,0,1,0,,,,,0,0,,0,
Elaena Targaryen,Princess,0,Valyrian,150.0,,,,House Targaryen,Ossifer Plumm,0,0,0,0,0,,,,0.0,1,1,70.0,7,
Elys Westerling,Ser,0,,,,,,House Westerling,,0,0,1,0,0,,,,,0,1,,0,
Elyas Willum,,1,,,,,,House Willum,,0,1,0,0,0,,,,,0,0,,0,
Elza,,0,Meereenese,,,,,House of Galare,,0,0,0,0,1,,,,,0,0,,0,
Emma,,0,,260.0,,,,,,0,0,0,1,0,,,,,0,0,45.0,0,
Elys Waynwood,Ser,0,,,,,,House Waynwood,Alys Arryn,0,0,0,1,0,,,,1.0,1,1,,0,
Emrick,,1,,,,,,Night's Watch,,0,0,1,1,1,,,,,0,0,,0,
Endehar,,0,,,,,,,,0,1,0,0,0,,,,,0,0,,0,
Emphyria Vance,,0,,,,,,House Vance of Wayfarer's Rest,,0,0,0,1,0,,,,,0,0,,0,
Enger,,0,,,,,,House Tully,,0,1,0,0,0,,,,,0,0,,0,
Erik Ironmaker,Lord Steward of the Iron Islands,1,Ironborn,211.0,,,,House Ironmaker,Asha Greyjoy,0,0,0,1,1,,,,1.0,1,1,94.0,0,
Erreck,Maester,1,,,,,,,,0,0,1,0,0,,,,,0,1,,0,
Erreg,King,0,Andal,,,,,,,0,0,1,0,0,,,,,0,1,,0,
Errok,,1,Free Folk,,,,,,,0,0,1,1,0,,,,,0,0,,0,
Erryk (guard),,0,,,,,,House Tyrell,,0,0,0,0,0,,,,,0,0,,0,
Esgred,,1,,,,,,,,0,1,0,0,0,,,,,0,0,,0,
Eustace (Braavos),Septon,0,,,,,,Faith of the Seven,,0,0,0,1,0,,,,,0,0,,0,
Eustace (Dance of the Dragons),Septon,1,,,,,,Faith of the Seven,,0,0,0,0,0,,,,,0,0,,0,
Ezzara,Blue Grace,0,Ghiscari,,,,,,,0,0,0,0,1,,,,,0,1,,0,
Euron Greyjoy,,1,Ironborn,,Lady of House Sunderly,Quellon Greyjoy,,,,0,0,0,0,0,1.0,0.0,,,0,0,,4,
Ezzelyno,Red Priest,0,Braavosi,,,,,R'hllor,,0,0,0,1,0,,,,,0,1,,0,
Fern,,0,,,,,,,,0,0,1,0,0,,,,,0,0,,0,
Ferny,,0,Free Folk,,,,,,Craster,0,0,1,1,0,,,,0.0,1,0,,0,
Ferret,,0,,,,,,,,0,0,0,0,0,,,,,0,0,,0,
Fogo,Khalakka,1,Dothraki,,,,,,,1,0,0,0,0,,,,,0,1,,0,
Fornio,,1,,,,,,Night's Watch,,0,0,1,0,0,,,,,0,0,,0,
Fralegg,,1,Ironborn,,,,,,,0,0,0,1,0,,,,,0,0,,0,
Frenya,,1,Free Folk,,,,,,,0,0,0,0,1,,,,,0,0,,0,
Frynne,,0,,,,,,,,0,0,0,1,0,,,,,0,0,,0,
Gage,,0,,,,,,House Stark,,1,1,1,0,0,,,,,0,0,,0,
Galladon of Morne,Ser,1,,,,,,,,0,0,0,0,0,,,,,0,1,,0,
Gallard,Archmaester,0,,,,,,,,0,0,0,1,0,,,,,0,1,,0,
Galt,,0,Vale mountain clans,,,,,Stone Crows,,0,1,0,1,0,,,,,0,0,,0,
Galtry the Green,Ser,1,,,,,,,,0,0,0,0,0,,,,,0,1,,0,
Galyeon of Cuy,,1,,,,,,,,0,0,1,0,0,,,,,0,0,,0,
Gareth the Grey,Ser,1,,,,,,,,0,0,0,0,0,,,,,0,1,,0,
Garigus,Wisdom,1,,,,,,Alchemists' Guild,,0,0,1,0,0,,,,,0,1,,0,
Garizon,Archmaester,0,,,,,,,,0,0,0,1,0,,,,,0,1,,0,
Gariss,,1,,,,,,House Stark,,0,1,0,0,0,,,,,0,0,,0,
Garrett Paege,,1,,,,,,House Paege,,0,0,0,1,1,,,,,0,0,,0,
Garth XII Gardener,,0,,,,,,,,0,0,0,0,0,,,,,0,0,,0,
Garth of Oldtown,,0,,,,,,Night's Watch,,0,0,1,0,0,,,,,0,0,,0,
Gascoyne,Ser,0,,,,,,House Martell,,0,0,0,1,1,,,,,0,1,,0,
Gavin,,0,Free Folk,,,,,,,0,0,0,0,1,,,,,0,0,,0,
Gelmarr,,1,,,,,,House Greyjoy,,0,1,0,0,1,,,,,0,0,,0,
Gerren,,0,,,,,,,,0,1,0,0,0,,,,,0,0,,0,
Gerold Lannister,Casterly Rock,1,Westerman,,Cerissa Brax,Damon Lannister,,House Lannister,Rohanne Webber,0,0,0,0,0,,,,1.0,1,1,,0,
Ghael,Lord,1,Astapori,,,,,,,0,0,1,0,1,,,,,0,1,,0,
Gillam,Brother,1,,,,,,,,0,0,0,1,0,,,,,0,1,,0,
Gladden Wylde,Ser,1,,,,,,House Wylde,,1,0,0,0,0,,,,,0,1,,0,
Glendon Flowers,Ser,1,,196.0,,,,,,0,0,0,0,0,,,,,0,1,100.0,0,
Goady,,0,,,,,,Night's Watch,,0,0,1,1,1,,,,,0,0,,0,
Godwyn,,1,,,,,,House Lannister,,1,0,0,0,0,,,,,0,0,,0,
Gormond Drumm,,1,Ironborn,,,,,House Drumm,,0,0,0,1,0,,,,,0,0,,0,
Gowen Baratheon,,1,,,,,,House Baratheon,Tya Lannister,1,0,0,0,0,,,,1.0,1,0,,0,
Grance Morrigen,Ser,1,,,,,,House Morrigen,,0,0,0,0,0,,,,,0,1,,0,
Grazdan,Good Master,1,Astapori,,,,,,,0,0,1,0,0,,,,,0,1,,0,
Grazdan zo Galare,,1,Meereenese,,,,,House of Galare,,0,0,0,0,1,,,,,0,0,,0,
Green Gergen,,1,,,,,,,,0,0,0,0,0,,,,,0,0,,0,
Great Walrus,,1,Free Folk,,,,,,,0,0,0,0,1,,,,,0,0,,0,
Gretchel,,1,,,,,,House Arryn,,0,0,0,1,1,,,,,0,0,,0,
Grey King,,1,Ironborn,,,,,,,0,0,0,0,0,,,,,0,0,,0,
Griffin King,,1,First Men,,,,,,,0,0,0,0,0,,,,,0,0,,0,
Grigg,,0,Free Folk,,,,,,,0,0,1,1,0,,,,,0,0,,0,
Grisel,,0,,,,,,House Baelish,,0,0,1,0,0,,,,,0,0,,0,
Grisella,,0,Free Folk,,,,,,,0,0,0,0,1,,,,,0,0,,0,
Gulian,Maester,0,,,,,,,,0,0,0,1,0,,,,,0,1,,0,
Gulian Qorgyle,Ser,1,,,,,,House Qorgyle,,0,0,0,1,0,,,,,0,1,,0,
